"index","mc","mcblue","mclds","ismc","ismcblue","ismclds"
"325","0.000338","0.000543","0.000080","0.000188","0.000408","0.000012",
"326","0.000371","0.000541","0.000017","0.000160","0.000402","0.000010",
"327","0.000284","0.000564","0.000029","0.000167","0.000366","0.000015",
"328","0.000308","0.000573","0.000073","0.000176","0.000369","0.000010",
"329","0.000273","0.000554","0.000010","0.000172","0.000370","0.000013",
"330","0.000245","0.000543","0.000065","0.000171","0.000361","0.000018",
"331","0.000226","0.000573","0.000040","0.000182","0.000372","0.000011",
"332","0.000263","0.000583","0.000010","0.000186","0.000382","0.000026",
"333","0.000249","0.000556","0.000080","0.000193","0.000346","0.000010",
"334","0.000234","0.000522","0.000010","0.000191","0.000350","0.000010",
"335","0.000258","0.000558","0.000043","0.000188","0.000354","0.000017",
"336","0.000179","0.000525","0.000061","0.000175","0.000354","0.000016",
"337","0.000115","0.000519","0.000010","0.000160","0.000365","0.000039",
"338","0.000144","0.000536","0.000073","0.000157","0.000337","0.000022",
"339","0.000077","0.000548","0.000025","0.000165","0.000340","0.000016",
"340","0.000095","0.000556","0.000020","0.000157","0.000321","0.000023",
"341","0.000117","0.000540","0.000075","0.000125","0.000305","0.000010",
"342","0.000109","0.000488","0.000010","0.000132","0.000296","0.000010",
"343","0.000083","0.000477","0.000056","0.000144","0.000302","0.000012",
"344","0.000048","0.000495","0.000047","0.000132","0.000288","0.000010",
"345","0.000057","0.000484","0.000010","0.000142","0.000295","0.000025",
"346","0.000049","0.000471","0.000076","0.000151","0.000291","0.000010",
"347","0.000090","0.000509","0.000012","0.000152","0.000285","0.000010",
"348","0.000086","0.000475","0.000033","0.000127","0.000285","0.000014",
"349","0.000121","0.000477","0.000066","0.000115","0.000288","0.000010",
"350","0.000117","0.000479","0.000010","0.000111","0.000292","0.000027",
"351","0.000080","0.000543","0.000065","0.000125","0.000286","0.000024",
"352","0.000058","0.000544","0.000032","0.000114","0.000258","0.000018",
"353","0.000135","0.000532","0.000012","0.000113","0.000250","0.000030",
"354","0.000161","0.000509","0.000074","0.000112","0.000257","0.000010",
"355","0.000186","0.000479","0.000010","0.000121","0.000259","0.000010",
"356","0.000246","0.000461","0.000046","0.000095","0.000263","0.000022",
"357","0.000212","0.000462","0.000053","0.000097","0.000268","0.000021",
"358","0.000218","0.000488","0.000010","0.000092","0.000264","0.000038",
"359","0.000238","0.000460","0.000071","0.000101","0.000256","0.000017",
"360","0.000228","0.000478","0.000019","0.000097","0.000281","0.000013",
"361","0.000219","0.000617","0.000024","0.000097","0.000287","0.000016",
"362","0.000219","0.000585","0.000068","0.000081","0.000286","0.000010",
"363","0.000179","0.000607","0.000010","0.000060","0.000308","0.000010",
"364","0.000164","0.000596","0.000057","0.000054","0.000304","0.000011",
"365","0.000194","0.000582","0.000039","0.000051","0.000300","0.000010",
"366","0.000191","0.000605","0.000010","0.000042","0.000294","0.000019",
"367","0.000157","0.000577","0.000072","0.000048","0.000287","0.000010",
"368","0.000141","0.000612","0.000010","0.000060","0.000279","0.000010",
"369","0.000123","0.000599","0.000036","0.000063","0.000282","0.000010",
"370","0.000142","0.000607","0.000058","0.000048","0.000272","0.000010",
"371","0.000135","0.000625","0.000010","0.000057","0.000269","0.000027",
"372","0.000130","0.000570","0.000065","0.000054","0.000275","0.000018",
"373","0.000162","0.000585","0.000026","0.000033","0.000296","0.000012",
"374","0.000133","0.000607","0.000015","0.000034","0.000294","0.000022",
"375","0.000134","0.000583","0.000069","0.000027","0.000271","0.000010",
"376","0.000148","0.000633","0.000010","0.000027","0.000261","0.000010",
"377","0.000114","0.000630","0.000048","0.000025","0.000242","0.000012",
"378","0.000108","0.000630","0.000046","0.000021","0.000239","0.000010",
"379","0.000105","0.000617","0.000010","0.000012","0.000218","0.000024",
"380","0.000136","0.000589","0.000069","0.000014","0.000217","0.000010",
"381","0.000099","0.000584","0.000013","0.000010","0.000211","0.000010",
"382","0.000152","0.000589","0.000027","0.000013","0.000223","0.000010",
"383","0.000150","0.000575","0.000062","0.000022","0.000223","0.000010",
"384","0.000165","0.000584","0.000010","0.000023","0.000209","0.000014",
"385","0.000128","0.000591","0.000057","0.000033","0.000219","0.000016",
"386","0.000057","0.000587","0.000032","0.000044","0.000211","0.000010",
"387","0.000074","0.000602","0.000010","0.000043","0.000215","0.000023",
"388","0.000081","0.000569","0.000068","0.000020","0.000215","0.000010",
"389","0.000065","0.000595","0.000010","0.000010","0.000227","0.000010",
"390","0.000070","0.000547","0.000039","0.000010","0.000208","0.000016",
"391","0.000051","0.000550","0.000051","0.000010","0.000219","0.000015",
"392","0.000045","0.000488","0.000010","0.000010","0.000203","0.000033",
"393","0.000061","0.000471","0.000064","0.000016","0.000217","0.000016",
"394","0.000093","0.000499","0.000020","0.000011","0.000196","0.000011",
"395","0.000101","0.000461","0.000019","0.000010","0.000200","0.000014",
"396","0.000036","0.000452","0.000064","0.000010","0.000187","0.000010",
"397","0.000020","0.000443","0.000010","0.000010","0.000190","0.000010",
"398","0.000010","0.000464","0.000050","0.000014","0.000187","0.000010",
"399","0.000020","0.000505","0.000039","0.000010","0.000168","0.000010",
"400","0.000041","0.000542","0.000010","0.000021","0.000175","0.000017",
"401","0.000026","0.000555","0.000066","0.000011","0.000163","0.000010",
"402","0.000010","0.000589","0.000010","0.000014","0.000156","0.000010",
"403","0.000010","0.000555","0.000030","0.000010","0.000159","0.000010",
"404","0.000041","0.000561","0.000055","0.000010","0.000161","0.000010",
"405","0.000032","0.000573","0.000010","0.000014","0.000169","0.000025",
"406","0.000064","0.000534","0.000058","0.000010","0.000166","0.000019",
