"index","mc","mcblue","mclds","ismc1","ismcblue1","ismclds1","ismc2","ismcblue2","ismclds2","mismc","mismcstoc","mismclds"
"121","0.003724","0.003724","0.000622","0.000512","0.000512","0.000287","0.007185","0.007185","0.000361","0.002509","0.000202","0.003369",
"122","0.003374","0.003374","0.000035","0.000552","0.000552","0.000386","0.006822","0.006822","0.000080","0.002560","0.000022","0.003038",
"123","0.003393","0.003393","0.000010","0.000792","0.000792","0.000318","0.006996","0.006996","0.000322","0.002622","0.000079","0.002884",
"124","0.003008","0.003008","0.000574","0.000370","0.000370","0.000148","0.007147","0.007147","0.000033","0.002818","0.000137","0.002859",
"125","0.002952","0.002952","0.000117","0.000026","0.000026","0.000076","0.007426","0.007426","0.000124","0.002831","0.000014","0.002891",
"126","0.002990","0.002990","0.000354","0.000108","0.000108","0.000328","0.007580","0.007580","0.000563","0.002682","0.000114","0.002962",
"127","0.002904","0.002904","0.000310","0.000156","0.000156","0.000038","0.007444","0.007444","0.000128","0.002599","0.000081","0.003255",
"128","0.003088","0.003088","0.000025","0.000168","0.000168","0.000049","0.006899","0.006899","0.000160","0.002441","0.000034","0.003125",
"129","0.003170","0.003170","0.000665","0.000354","0.000354","0.000334","0.006845","0.006845","0.000166","0.002493","0.000254","0.003368",
"130","0.003687","0.003687","0.000028","0.000564","0.000564","0.000062","0.006816","0.006816","0.000020","0.002693","0.000056","0.003538",
"131","0.003557","0.003557","0.000134","0.000814","0.000814","0.000074","0.006571","0.006571","0.000376","0.002469","0.000111","0.003786",
"132","0.003517","0.003517","0.000479","0.000694","0.000694","0.000112","0.006896","0.006896","0.000065","0.002526","0.000130","0.003872",
"133","0.003593","0.003593","0.000069","0.000708","0.000708","0.000165","0.006829","0.006829","0.000057","0.002506","0.000035","0.003636",
"134","0.003684","0.003684","0.000513","0.000646","0.000646","0.000155","0.006695","0.006695","0.000330","0.002432","0.000178","0.003412",
"135","0.003875","0.003875","0.000164","0.000216","0.000216","0.000470","0.006970","0.006970","0.000262","0.002368","0.000023","0.003103",
"136","0.003640","0.003640","0.000021","0.000545","0.000545","0.000450","0.006613","0.006613","0.000056","0.002556","0.000052","0.003337",
"137","0.003911","0.003911","0.000602","0.000788","0.000788","0.000130","0.006336","0.006336","0.000048","0.002367","0.000185","0.003231",
"138","0.003731","0.003731","0.000072","0.001010","0.001010","0.000103","0.006154","0.006154","0.000010","0.002314","0.000054","0.003450",
"139","0.003980","0.003980","0.000244","0.001122","0.001122","0.000254","0.006087","0.006087","0.000441","0.002497","0.000099","0.003388",
"140","0.004355","0.004355","0.000359","0.001137","0.001137","0.000010","0.006184","0.006184","0.000110","0.002538","0.000122","0.003486",
"141","0.004056","0.004056","0.000042","0.001176","0.001176","0.000033","0.005990","0.005990","0.000100","0.002515","0.000091","0.003548",
"142","0.003779","0.003779","0.000569","0.001159","0.001159","0.000319","0.005756","0.005756","0.000254","0.002452","0.000211","0.003795",
"143","0.003954","0.003954","0.000010","0.001373","0.001373","0.000022","0.005621","0.005621","0.000010","0.002353","0.000050","0.003755",
"144","0.003811","0.003811","0.000033","0.001342","0.001342","0.000251","0.005674","0.005674","0.000392","0.002177","0.000024","0.003793",
"145","0.003541","0.003541","0.000475","0.001205","0.001205","0.000256","0.005485","0.005485","0.000051","0.002045","0.000129","0.003916",
"146","0.003094","0.003094","0.000086","0.000947","0.000947","0.000220","0.005425","0.005425","0.000143","0.002071","0.000068","0.003962",
"147","0.003250","0.003250","0.000377","0.000914","0.000914","0.000550","0.005171","0.005171","0.000467","0.002192","0.000154","0.003914",
"148","0.003169","0.003169","0.000230","0.000787","0.000787","0.000038","0.005150","0.005150","0.000126","0.002310","0.000118","0.003988",
"149","0.003264","0.003264","0.000010","0.000843","0.000843","0.000209","0.005014","0.005014","0.000152","0.002303","0.000065","0.003722",
"150","0.003145","0.003145","0.000576","0.000697","0.000697","0.000175","0.005171","0.005171","0.000076","0.002420","0.000188","0.003717",
"151","0.002852","0.002852","0.000045","0.000738","0.000738","0.000093","0.004958","0.004958","0.000010","0.002464","0.000030","0.003991",
"152","0.002745","0.002745","0.000149","0.000604","0.000604","0.000044","0.005073","0.005073","0.000354","0.002438","0.000023","0.003982",
"153","0.002795","0.002795","0.000375","0.000659","0.000659","0.000066","0.004921","0.004921","0.000051","0.002350","0.000114","0.003843",
"154","0.002494","0.002494","0.000065","0.000586","0.000586","0.000173","0.004963","0.004963","0.000090","0.002424","0.000010","0.003870",
"155","0.002343","0.002343","0.000464","0.000676","0.000676","0.000040","0.004790","0.004790","0.000291","0.002320","0.000122","0.003789",
"156","0.002443","0.002443","0.000063","0.000619","0.000619","0.000488","0.005016","0.005016","0.000143","0.002335","0.000055","0.003809",
"157","0.002402","0.002402","0.000010","0.000394","0.000394","0.000402","0.005228","0.005228","0.000159","0.002366","0.000067","0.003822",
"158","0.002256","0.002256","0.000473","0.000328","0.000328","0.000260","0.005230","0.005230","0.000015","0.002255","0.000090","0.003970",
"159","0.002094","0.002094","0.000087","0.000270","0.000270","0.000238","0.005175","0.005175","0.000044","0.002197","0.000010","0.003943",
"160","0.002219","0.002219","0.000247","0.000331","0.000331","0.000082","0.005015","0.005015","0.000413","0.002231","0.000081","0.004114",
"161","0.002135","0.002135","0.000266","0.000165","0.000165","0.000142","0.005184","0.005184","0.000103","0.002269","0.000067","0.004063",
"162","0.002030","0.002030","0.000032","0.000171","0.000171","0.000064","0.004962","0.004962","0.000117","0.002307","0.000012","0.004047",
"163","0.001786","0.001786","0.000511","0.000050","0.000050","0.000171","0.005098","0.005098","0.000186","0.002064","0.000153","0.004113",
"164","0.001605","0.001605","0.000019","0.000015","0.000015","0.000060","0.004953","0.004953","0.000011","0.002038","0.000010","0.003959",
"165","0.001912","0.001912","0.000076","0.000266","0.000266","0.000054","0.004796","0.004796","0.000319","0.001928","0.000064","0.003869",
"166","0.001973","0.001973","0.000399","0.000469","0.000469","0.000192","0.004574","0.004574","0.000047","0.001910","0.000122","0.003835",
"167","0.001852","0.001852","0.000057","0.000252","0.000252","0.000206","0.004687","0.004687","0.000041","0.002004","0.000059","0.004058",
"168","0.002429","0.002429","0.000390","0.000624","0.000624","0.000029","0.004274","0.004274","0.000273","0.001844","0.000148","0.004155",
"169","0.002722","0.002722","0.000169","0.000744","0.000744","0.000421","0.004152","0.004152","0.000221","0.001906","0.000062","0.004065",
"170","0.002913","0.002913","0.000024","0.000727","0.000727","0.000377","0.004298","0.004298","0.000018","0.001907","0.000067","0.004066",
"171","0.002426","0.002426","0.000498","0.000456","0.000456","0.000267","0.004464","0.004464","0.000032","0.001837","0.000145","0.003853",
"172","0.002351","0.002351","0.000054","0.000528","0.000528","0.000284","0.004474","0.004474","0.000010","0.001890","0.000046","0.004192",
"173","0.002620","0.002620","0.000166","0.000776","0.000776","0.000063","0.004203","0.004203","0.000343","0.001887","0.000050","0.004295",
"174","0.002883","0.002883","0.000304","0.000793","0.000793","0.000143","0.004167","0.004167","0.000071","0.001881","0.000078","0.004219",
"175","0.002931","0.002931","0.000043","0.000830","0.000830","0.000135","0.004078","0.004078","0.000082","0.001908","0.000040","0.004075",
"176","0.003099","0.003099","0.000440","0.000999","0.000999","0.000096","0.003929","0.003929","0.000236","0.001774","0.000123","0.003953",
"177","0.003006","0.003006","0.000010","0.000952","0.000952","0.000230","0.003808","0.003808","0.000022","0.001685","0.000010","0.003951",
"178","0.003281","0.003281","0.000010","0.000708","0.000708","0.000131","0.004104","0.004104","0.000284","0.001757","0.000034","0.004149",
"179","0.003074","0.003074","0.000389","0.000778","0.000778","0.000095","0.004024","0.004024","0.000045","0.001819","0.000081","0.004096",
"180","0.003018","0.003018","0.000079","0.000717","0.000717","0.000102","0.004070","0.004070","0.000098","0.001697","0.000010","0.004160",
"181","0.002906","0.002906","0.000268","0.000517","0.000517","0.000199","0.004152","0.004152","0.000390","0.001698","0.000070","0.004176",
"182","0.002494","0.002494","0.000206","0.000375","0.000375","0.000177","0.004256","0.004256","0.000107","0.001698","0.000082","0.004255",
"183","0.002099","0.002099","0.000010","0.000257","0.000257","0.000179","0.004363","0.004363","0.000097","0.001852","0.000025","0.004466",
"184","0.002007","0.002007","0.000472","0.000321","0.000321","0.000030","0.004108","0.004108","0.000076","0.001824","0.000151","0.004152",
"185","0.001732","0.001732","0.000025","0.000424","0.000424","0.000184","0.003903","0.003903","0.000018","0.001828","0.000010","0.004169",
"186","0.001919","0.001919","0.000106","0.000531","0.000531","0.000091","0.003771","0.003771","0.000263","0.001888","0.000016","0.004088",
"187","0.001734","0.001734","0.000328","0.000523","0.000523","0.000137","0.003625","0.003625","0.000051","0.001837","0.000089","0.004212",
"188","0.002060","0.002060","0.000048","0.000469","0.000469","0.000190","0.003623","0.003623","0.000040","0.001870","0.000023","0.004222",
"189","0.001980","0.001980","0.000374","0.000477","0.000477","0.000010","0.003625","0.003625","0.000218","0.001867","0.000130","0.004388",
"190","0.002289","0.002289","0.000095","0.000598","0.000598","0.000426","0.003546","0.003546","0.000179","0.001845","0.000010","0.004429",
"191","0.002021","0.002021","0.000012","0.000573","0.000573","0.000361","0.003642","0.003642","0.000056","0.001877","0.000018","0.004364",
"192","0.002255","0.002255","0.000420","0.000781","0.000781","0.000236","0.003529","0.003529","0.000054","0.001811","0.000093","0.004257",
"193","0.002320","0.002320","0.000054","0.000894","0.000894","0.000172","0.003434","0.003434","0.000010","0.001755","0.000010","0.004118",
"194","0.002661","0.002661","0.000191","0.000958","0.000958","0.000039","0.003482","0.003482","0.000295","0.001748","0.000070","0.004090",
"195","0.002682","0.002682","0.000248","0.000983","0.000983","0.000158","0.003676","0.003676","0.000110","0.001638","0.000075","0.004105",
"196","0.002939","0.002939","0.000027","0.000865","0.000865","0.000165","0.003801","0.003801","0.000061","0.001601","0.000024","0.004011",
"197","0.003064","0.003064","0.000419","0.000840","0.000840","0.000024","0.003972","0.003972","0.000145","0.001588","0.000116","0.003977",
"198","0.002940","0.002940","0.000010","0.000954","0.000954","0.000156","0.003813","0.003813","0.000010","0.001543","0.000012","0.003759",
"199","0.002693","0.002693","0.000042","0.000818","0.000818","0.000014","0.003856","0.003856","0.000259","0.001676","0.000028","0.003764",
"200","0.002833","0.002833","0.000345","0.000988","0.000988","0.000036","0.003644","0.003644","0.000010","0.001748","0.000093","0.003574",
"201","0.003088","0.003088","0.000052","0.001122","0.001122","0.000047","0.003634","0.003634","0.000070","0.001800","0.000062","0.003416",
"202","0.003006","0.003006","0.000299","0.001288","0.001288","0.000295","0.003424","0.003424","0.000298","0.001755","0.000115","0.003405",
"203","0.002797","0.002797","0.000161","0.001285","0.001285","0.000047","0.003361","0.003361","0.000121","0.001834","0.000049","0.003635",
"204","0.002861","0.002861","0.000014","0.001399","0.001399","0.000056","0.003173","0.003173","0.000078","0.001740","0.000043","0.003679",
"205","0.002514","0.002514","0.000424","0.001262","0.001262","0.000085","0.003140","0.003140","0.000032","0.001640","0.000104","0.003865",
"206","0.002500","0.002500","0.000037","0.001308","0.001308","0.000089","0.003046","0.003046","0.000010","0.001665","0.000027","0.003901",
"207","0.002502","0.002502","0.000119","0.001233","0.001233","0.000012","0.003027","0.003027","0.000283","0.001685","0.000028","0.004090",
"208","0.002479","0.002479","0.000267","0.001198","0.001198","0.000074","0.002924","0.002924","0.000030","0.001733","0.000065","0.004291",
"209","0.002516","0.002516","0.000045","0.001125","0.001125","0.000042","0.003129","0.003129","0.000090","0.001757","0.000010","0.004325",
"210","0.002160","0.002160","0.000351","0.001127","0.001127","0.000132","0.003075","0.003075","0.000227","0.001767","0.000082","0.004464",
"211","0.002131","0.002131","0.000028","0.001061","0.001061","0.000368","0.003112","0.003112","0.000064","0.001810","0.000018","0.004287",
"212","0.002193","0.002193","0.000010","0.001227","0.001227","0.000342","0.003094","0.003094","0.000161","0.001837","0.000045","0.004384",
